"Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal"
"Bhédsār","

        Bhédsār is a book of religious songs. The contents reflect Sufi philosophy and some of the songs are endowed with the knowledge of God. The first version of the text perhaps belongs to the 17th century. The present copy has been copied out by hand. Saiyad Śāh Hussain Ālam was born in the 15th century in Sylhét according to some and between 1500-1650 CE according to Professor Āsāddar Āli. The original hand written volume is undated. It measures 281mm x 180mm. The main text is written on pages 1-166 and this is all that has been copied, along with the front and back covers.

                  
            
              
              View images from this file (178)
            
          
              ","EAP071/13/1","178 tiff images","Book","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Hālatunnabi","

        The Hālatunnabi is a popular text in the Muslim community of the region of Āssām. According to the poet, the text in manuscript form was completed in 1262 Bengali Era (1853 CE). It narrates, in 'Payār' and 'Tripodi' verse, the story of creation and writes in detail the life of the Prophet Muhammad and his ascension to heaven. It also gives a vivid description of hell. The text reflects an expert handling of Islamic genealogical accounts. Significantly, the poet shows a concern for accuracy and refers to the Arabic and Persian texts on which he has based his narration. The date of the text is unknown. The original is an incomplete photocopy measuring 203mm x 116mm. The title page is missing. The main text appears on pages 8-269 and these pages are all that have been copied.

                  
            
              
              View images from this file (260)
            
          
              ","EAP071/14/1","260 tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Haribamsa","

        The text here is an adaptation in Sylhét Nāgri script from the original Haribasmsa which, according to scholars, was written by Bhabānanda in the 17th century. It is a love story of Krisna and Rādhā, the Hindu god and goddess. It was very popular among the Muslims of the region of Āssām, for whose benefit it was adapted. In its cultural aspect, Islam absorbed many of the non-Islamic elements common in the region. One can notice an element of acculturation, expressed through such texts. The original volume is printed, except for page 71 which is a photocopy. It measures 216mm x 135mm. The title page is missing and the date of the text is unknown. The main text is found on pages 1-148 and this is all that has been copied, along with the front and back covers. The pages are badly damaged from page 124 onwards.

                  
            
              
              View images from this file (150)
            
          
              ","EAP071/15/1","150 tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Jamnāmā","

        'Jam' is a Persian word meaning 'battle' or 'war'. The Jamnāmā contains a narrative poem that recounts the battle of Kārbālā. This battle was fought between the grandsons of the Prophet Muhammad - Hāsān and Hussain on one side and Éjid on the other. The text includes songs which are called 'Jāri' songs. This very popular text is ritually read on the Muharram night when the Muslim community gets together to recite passages from the text and to sing the 'Jāri' songs. The significance of the text lies in its literary innovations and the creativity of the author who weaves a story of a distant land into one which rouses the spontaneous emotions of the region. The original is an undated photocopy measuring 200mm x 120mm. The main text is found on pages 12-466 and this is all that has been copied. The original is missing the title page and pages 326, 327, 329, 330, 378, 379, 401, 402 and 403.

                  
            
              
              View images from this file (442)
            
          
              ","EAP071/16/1","442 tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Hālatunnabi","

        Hālatunnabi is a popular text in the Muslim community of the Śilcar region. According to the poet, the text in manuscript form was completed in 1262 Bengali Era (1853 Common Era). It narrates, in 'Payār' and 'Tripodi' verse, the story of Creation and writes in detail the life of the prophet Muhammad and his ascension to heaven. It gives a vivid description of hell. The text reflects an expert handling of Islamic genealogical accounts. Significantly, the poet shows a concern for accuracy and refers to the Arabic and Persian texts on which he has based his narration. The original volume was printed, and is undated. It measures 790mm x 145mm. The main text is found on pages 3-254 and this is all that has been copied, along with the front and back covers. The original is missing the title page.

                  
            
              
              View images from this file (259)
            
          
              ","EAP071/17/1","259 tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Hālatunnabi","

        Hālatunnabi is a popular text in the Muslim community of the Sonāi, Cāchār region in Āssām. According to the poet, the text in manuscript form was completed in 1262 Bengali Era (1853 Common Era). It narrates, in 'Payār' and 'Tripodi' verse, the story of Creation and writes in detail the life of the prophet Muhammad and his ascension to heaven. It gives a vivid description of hell. The text reflects an expert handling of Islamic genealogical accounts. Significantly, the poet shows a concern for accuracy and refers to the Arabic and Pesian texts on which he has based his narration. The original volume is an undated, printed book measuring 683mm x 138mm. The title page is missing. The main text is found on pages 19-280, and that is all that has been copied. Some of the pages are badly torn.

                  
            
              
              View images from this file (260)
            
          
              ","EAP071/18/1","260 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Haribamsa","

        The text is an adaptation, in Sylhét Nāgri script, of the original Haribamsa which, according to scholars, was written by Bhabānanda in the 17th century. It narrates the love-story of Krishna and Rādhā, the Hindu god and goddess. It was very popular among the muslims of the Sonāi, Cāchār region in Āssām, for whose benefit it was written in the Sylhét Nāgri script. The original volume is an undated, printed book measuring 132mm x 223mm. The main text is found on pages 11-124, and that is all that has been copied, along with the front and back covers of the book. The original volume is missing the title page and pages 1-10. Some of the pages are badly torn.

                  
            
              
              View images from this file (118)
            
          
              ","EAP071/18/2","118 Tiff images","Book","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Hāltunnabi [1926]","

        Hālatunnabi is a popular text in the Muslim community of the Śilcar region of Āssām. According to the poet, the text in manuscript form was completed in 1262 Bengali Era (1853 Common Era). It narrates, in 'Payār' and 'Tripodi' verse, the story of creaton and writes in detail the life of the Prophet Muhammad and his ascension to heaven. It also gives a vivid description of hell. The text reflects an expert handling of Islamic genealogical accounts. Significantly, the poet shows his concern for accuracy and refers to the Arabic and Persian texts on which he has based his narration. The original volume is dated to 1333 Bengali Era (1926 Common Era). It is a printed book, measuring 137mm by 209mm. The author is Moulabī Ch[S]ādék Ālī. The book was printed and published by Mahāmmad Ābul Husain.

                  
            
              
              View images from this file (284)
            
          
              ","EAP071/19/1","284 Tiff images","Manuscript","File","Bengali","Syloti Nagri","1926","Access is for research purposes only"
"Rādhā Piyāri","

        This text depicts the love of the disciple towards the Lord/Murshid/Allāh. It deals with deep Sufi philosophy. It is interesting that Rādhā, an icon of the Vaisnav tradition, has been used in the text. The original text has been handwritten into two note books using black ink. The dates of the original text, and of the handwritten copy, are not known. The lines and borders of the note books are in red ink. The books measure 231mm x 184mm. The main text has been copied, along with the covers of the note books, although the two books have been copied as one entity.

                  
            
              
              View images from this file (101)
            
          
              ","EAP071/20/1","101 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Tālib Huchan","

        The Tālib Huchan is a text on Sufi theology. The author, Golām Huchan, wrote the text in 1549 CE and the acquired manuscript was copied by an anonymous person much later. It is fragmented. The front pages and the end pages are missing. The significance of the text lies in the fact that this is one of the ealiest texts dealing with Sufi themes found in the area of Cāchār. It reveals the manner in which Sufi literature was introduced in the Sibāi, Cāchār region of Āssam. The original text is hand written using black ink, with decorations in red ink. The lines of the book are also in black ink. The handwritten text copied here is undated. There are no page numbers, but the main text has been copied onto pages 1-436. The volume measures 205mm x 165mm.

                  
            
              
              View images from this file (438)
            
          
              ","EAP071/20/2","439 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Candramukhir Punthi","

        The text narrates the love story of Candramukhi, daughter of the king of Gandarbha, and Gulshunahār, son of the king of Misar (which has been identified as Egypt). The story seems to be an adaptation from a Persian story. The text shows literary innovations made in the structure and the form of the narration. The original is an undated printed volume measuring 201mm x 127mm. The title page is missing from the book. Pages 28-31 are also missing. The main text is found on pages 3-52 and that is all that has been copied, along with the front cover of the book.

                  
            
              
              View images from this file (46)
            
          
              ","EAP071/20/3","46 Tiff images","Book","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Hālatunnabi","

        The Hālatunnabi is a popular text in the Muslim community of Sonāi, Cāchār in the Āssam region. According to the poet, the text in manucript form was completed in 1262 Bengali Era (1853 Common Era). It narrates, in 'Payār' and 'Tripodi' verse, the story of creation and writes in detail the life of the Prophet Muhammad and his ascension to heaven. It also gives a vivid description of hell. The text reflects an expert handling of Islamic genealogical accounts. Significantly, the poet shows a concern for accuracy and refers to the Arabic and Persian texts on which he has based his narration. The original is an undated printed volume measuring 116mm x 201mm. The title page is missing from the book. The main text is found on pages 1-276 and this is all that has been copied, along with the back cover.

                  
            
              
              View images from this file (278)
            
          
              ","EAP071/20/4","278 Tiff images","Book","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Kālām Darbéś","

        'Kalām Darbéś', or 'Sayings of Darvish', written in Sylhét Nāgri script is a religious text in which a devoted Muslim desires to know what constitutes a 'true' Mussalmān. He sings the glory of Allah and enquires about the rituals of Islam (that is, the secret elements of practising Islam). Presented in a conversational form, the text preaches the ritualistic aspects of Islam in very simple terms in the regional dialect of Bengali (Sylhéti). This explains the wide reach of this popular literature in the rural areas of the region (Cāchār, Sylhét and parts of Eastern Bengal). The text, written in verse, was never printed. In fact, some of these religious texts were forbidden to be rendered in print. Such texts were copied by rural Muslim individuals and are still regarded as sacred. The present text was copied by Chābāl Śā[h] in as late as 1984. The original text seems to be of an earlier origin and may perhaps be dated to the nineteenth century. If this dating is correct, the text provides an insight into how the tenets of Islam were popularly presented and disseminated in this part of north-east India and Sylhét in Bāmlādeś. A critical reading of the text may thus throw light on the methods by which Islam was popularised in the region. It could also be used to trace strains of regional input into the philosophy of Islam as it evolved there under a strong Sufi influence. A linguistic study of the text could be significant in showing the extended use of Arabic and Persian words in Bengali. During their field work, the members of the EAP071 project discovered that this text, and similar texts written in the same script, are held in respect by thier owners and the Muslim community. The acts of reading, reciting and copying these texts by individuals was regarded as a religious act, even though very few individuals know the script. Maktab Āli, the owner of the original text, told the EAP071 project that he had learnt the script through the benediction of Allah, bestowed on him in a dream. The text had been hand-copied by his father. The original text is undated and handwritten into a note book using blue ink. The note book measures 232mm x 18.2mm. The main text appears on pages 1-19, and this is all that has been copied along with the front and back covers of the note book.

                  
            
              
              View images from this file (23)
            
          
              ","EAP071/20/5","23 Tiff images","Book","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Kālām Darbéś","

        'Kalām Darbéś', or 'Sayings of Darvish', written in Sylhét Nāgri is a religious text in which a devoted Muslim desires to know what constitutes a 'true' Mussalmān. He sings the glory of Allah and enquires about the rituals of Islam (that is, the secret elements of practising Islam). Presented in a conversational form, the text preaches the ritualistic aspects of Islam in very simple terms in the regional dialect of bengali (Sylhéti). This explains the wide reach of this popular literature in the rural areas of the region (Cāchār, Sylhét and parts of Eastern Bengal). The text, written in verse, was never printed. In fact, some of these religious texts were forbidden to be rendered in print. Such texts were copied by rural Muslim individuals and are still regarded as sacred. The original text may perhaps be dated to the nineteenth century. If this dating is correct, the text provides an insight into how the tenets of Islam were popularly presented and disseminated in this part of north-east India and Sylhét in Bāmlādeś. A critical reading of the text may thus throw light on the methods by which Islam was popularised in the region. It could also be used to trace strains of regional input into the philosophy of Islam as it evolved there under a strong Sufi influence. A linguistic study of the text could be significant in showing the extended use of Arabic and Persian words in Bengali. During their field work the members of the EAP071 project discovered that this text, and similar texts written in the same script, are held in respect by thier owners and the Muslim community. The acts of reading, reciting and copying these texts by individuals was regarded as a religious act, even though very few individuals know the script. The original text is undated and handwritten into a note book. The lines and borders have been drawn in red ink; the content is written in black ink. The note book measures 205mm x 165mm. The main text covers 136 pages, including additional pages. The pagination is irregular: there is no page number 3 or 56; page numbers 46 and 54 have been used twice, on consecutive pages; after page 100 the pagination restarts from number 1. The last pages, thus numbering 1-23, have been intellectually considered as pages 101-133 for the pusposes of naming the digial files.

                  
            
              
              View images from this file (139)
            
          
              ","EAP071/21/1","139 Tiff images","Book","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Nu[ū]r Nachihat","

        This is a religious text written in 'payār' verse (a metrical system of Bengali poetry in which each line consists of fourteen letters or syllables). It describes a philosophical discourse based on Sufism as adapted to the Sonāi, Cāchār region in Āssam. Often the philosopher-poet speaks in secretive or code language which could be deciphered only by fellow believers. Significantly, the author forbids the printing of this text. It is permitted to copy it only by hand. The text does not talk about Shariat-based Islam. In other words, the author clearly intends the book to be read by believers only and not by either the sceptical or non-believers. The author is unknown. The original text is undated and handwritten by an unknown person. The volume measures 265mm x 180mm. The main text is found on pages 1-101.

                  
            
              
              View images from this file (237)
            
          
              ","EAP071/21/2","237 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Imāmchurir Boyan","

        The text copied here narrates the story of the abduction of Fatima's children, Hāssān and Hussain. In the text they are referred to as Imam. 'Imāmchu[ū]ri' means 'abduction of Iman'. The original volume is hand written and undated. It measures 216mm x 135mm. The main text is written on pages 1-76 and this is all that has been copied. Pages 2, 3, 33 and 34 are missing from the original.

                  
            
              
              View images from this file (73)
            
          
              ","EAP071/22/1","73 tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Hālatunnabi","

        Hālatunnabi is a popular text in the Muslim community of the Śilcar region. According to the poet, the text in manuscript form was completed in 1262 Bengali Era (1853 Common Era). It narrates, in 'Payār' and 'Tripodi' verse, the story of Creation and writes in detail the life of the prophet Muhammad and his ascension to heaven. It gives a vivid description of hell. The text reflects an expert handling of Islamic genealogical accounts. Significantly, the poet shows a concern for accuracy and refers to the Arabic and Persian texts on which he has based his narration. The original printed volume is undated. The pages measure 203mm x 128mm. The main text is found on pages 1-280 and this is all that has been copied, along with the front and back covers.

                  
            
              
              View images from this file (288)
            
          
              ","EAP071/23/1","288 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Din Bhabānander Gān","

        The text copied here is an adaptation in Sylhét Nāgri script from the original Haribamsa possibly written by Bhabānanda in the 17th century. It is a love story of Krishna and Rādhā, the Hindu god and ogddess. It was very popular among the Muslims of the region of Śilcar for whose benefit it was written in the Sylhét Nāgri script. In its cultural aspect Islam absorbed many of the non-Islamic elements common in the region. This element of acculturation is expressed through such texts. The original volume was printed and is undated. The title page and pages 65 and 66 are missing. It measures 210mm x 120mm. The main text is found on pages 27-112, and this is all that has been copied.

                  
            
              
              View images from this file (84)
            
          
              ","EAP071/24/1","84 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Hālatunnabi","

        Hālatunnabi is a popular text in the Muslim community of the Cāchār region of Āssām. According to the poet, the text in manuscript form was completed in 1262 Bengali Era (1853 Common Era). It narrates, in 'Payār' and 'Tripodi' verse, the story of Creation and writes in detail the life of the prophet Muhammad and his ascension to heaven. It gives a vivid description of hell. The text reflects an expert handling of Islamic genealogical accounts. Significantly, the poet shows a concern for accuracy and refers to the Arabic and Persian texts on which he has based his narration. The original printed volume is undated. It measures 213mm x 135mm. The main text appears on pages 27-253 and this is all that has been copied, along with the front and back covers of the book. The title page is missing from the original.

                  
            
              
              View images from this file (230)
            
          
              ","EAP071/25/1","230 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Candramukhir PuthiCandramukhir Puthi","

        The text narrates the love story of Candramukhi, daughter of the king of Gandarbha and Gulshunahār, son of the king of Misar (which has been identified as Egypt). The story appears to be an adaptation from a Persian text and this is reflected in the literary innovations made in the structure and the form of the narration. The original printed volume is undated and incomplete. The volume measures 137mm x 203mm. The main text appears on pages 11-48 and this is all that has been copied, along with the front and back covers of the book. The title page is missing from the original.

                  
            
              
              View images from this file (42)
            
          
              ","EAP071/25/2","42 Tiff images","Book","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Hālatunnabi [1929]","

        Hālatunnabi is a popular text in the Muslim community of the Śilcar region. According to the poet, the text in manuscript form ws completed in 1262 Bengli Era (1853 Common Era). It narrates, in 'Payār' and 'Tripodi', verse the story of Creation and writes in detail the life of the prophet Muhammad and his ascension to heaven. It gives a vivid description of hell. The text reflects an expert handling of Islamic genealogical accounts. Significantly, the poet shows a concern for accuracy and refers to the Arabic and Persian texts on which he has based his narration. The original printed volume is dated to 1336 Bengali Era (1929 Common Era). It measures 200mm x 130mm. The main text appears on pages 1-275, and these are all that have been copied. The original volume is missing the title page and pages 115-118.

                  
            
              
              View images from this file (277)
            
          
              ","EAP071/26/1","277 Tiff images","Manuscript","File","Bengali","Syloti Nagri","1929","Access is for research purposes only"
"Hālatunnabi","

        Hālatunnabi is a popular text in the Muslim community of the Śilcar region. According to the poet, the text in manuscript form was completed in 1262 Bengli Era (1853 Common Era). It narrates, in 'Payār' and 'Tripodi' verse, the story of Creation and writes in detail the life of the prophet Muhammad and his ascension to heaven. It gives a vivid description of hell. The text reflects an expert handling of Islamic genealogical accounts. Significantly, the poet shows a concern for accuracy and refers to the Arabic and Persian texts on which he has based his narration. The original printed volume is undated. It measures 210mm x 130mm and has been stitched together with red thread. The main text appears on pages 65-204, and these are all that have been copied. The original volume is missing the title page.

                  
            
              
              View images from this file (140)
            
          
              ","EAP071/27/1","140 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Candramukhir Punthi","

        This text narrates the love story of Candramukhi, daughter of the king of Gandarbha, and Gulshunahār, son of the king of Misar (which has been identified as Egypt). The story appears to be an adaptation from a Persian text and this is reflected in the literary innovations made in the structure and the form of the narration.  The original printed volume is undated. It measures 136mm x 219mm. The main text is printed on pages 1-52 and this is all that has been copied, along with the front and back covers. The original volume is missing the title page.

                  
            
              
              View images from this file (60)
            
          
              ","EAP071/28/1","60 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Mohabbatnāmā","

        The text is a romantic narrative poem depicting the adventurous love story of Hazrat Yusuf and J[z]ulekha, a woman of peerless beauty. The core story is described in the Qur'an as 'Āhsānūl Kachach' and is an adaptation of the work Mohabbatnāmā written in Persian by Maulānā Jāmir. Originally written by Ch[S]ādék Āli, it was reproduced by Muhammad Hātem Sāhéb, perhaps with some revision. The text is an example of a theme that has been borrowed from Persian tradition and thoroughly remodelled and rearranged in order to accommodate new as well as subtle regional, socio-cultural and aesthetic variation. The original printed volume is undated. It measures 215mm x 125mm. The main text is printed on pages 19-78 and this is all that has been copied, along with the front cover. The original volume is missing the title page.

                  
            
              
              View images from this file (62)
            
          
              ","EAP071/28/2","62 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Harmuj Nachihāt","

        Written by Sufi saint Harmuj Āli, the text deals with spiritual matters concerning Islam. It is a collection of poems and songs and both are in the nature of a religious discourse based on Sufism.  The original printed volume is undated. It measures 215mm x 128mm. The main text is printed on pages 3-40 and this is all that has been copied, along with the back cover. The original volume is missing the title page. Some of the pages are badly torn.

                  
            
              
              View images from this file (40)
            
          
              ","EAP071/28/3","40 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Hālatunnabi","

        Hālatunnabi is a popular text in the Muslim community of the Śilcar region. According to the poet, the text in manuscript form was completed in 1262 Bengli Era (1853 Common Era). It narrates, in 'Payār' and 'Tripodi' verse, the story of Creation and writes in detail the life of the prophet Muhammad and his ascension to heaven. It gives a vivid description of hell. The text reflects an expert handling of Islamic genealogical accounts. Significantly, the poet shows a concern for accuracy and refers to the Arabic and Persian texts on which he has based his narration. The original hand written volume is undated. It measures 209mm x 128mm. The main text appears on pages 1-322, and these are all that have been copied along with the front and back covers. The original volume is missing page 89.

                  
            
              
              View images from this file (323)
            
          
              ","EAP071/29/1","325 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Śitalāng Śāhér Gān","

        The songs in this volume deal with Sufi philosophy and show the development of Sufism in the region of Śilcar. Śitalāng Śāh's original name was Muhhamad Salimullāh. He assumed the name of Śitalāng Śāh when he renounced the world and became a Phakīr (a wanderer). Śitalāng Śāh may have been born between 1793 and 1799 and have lived for more than 90 years. The original volume is undated and was hand written in black ink. It measures 230mm x 150mm. The main text appears on pages 101-142 and this is all that has been copied.

                  
            
              
              View images from this file (42)
            
          
              ","EAP071/29/2","42 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Āmber Āli r Gān","

        The songs of Āmber Āli are love songs based on devotion. This volume is a collection of songs describing the love-story of Rādhā-Krisna. It reflects the influence of Vaisnavism and the assimilative character of the text, which is reflected in terms like 'niranjan' and 'Rādhā-Krisna'. The original volume is undated and was hand written in black ink. A pencil was used to draw the lines for the text. It measures 210mm x 150mm. The main text appears on pages 21-150 and this is all that has been copied. The original volume is missing paes 1-20 and 117.

                  
            
              
              View images from this file (129)
            
          
              ","EAP071/29/3","129 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Spiritual Songs on Love and SeparationSpiritual Songs on Love and Separation","

        The text copied here is a compliation of spiritual songs on the theme of love and separation (from Allah). It depicts devotion towards God using the metaphor of love. The original hand written text has no title and has been copied from another source. It is not known who copied it, or when. The first and last pages are written in mainstream Bengali script. The rest of the text is in Sylhét Nāgri script. The initial lines of the text are illegible. The original is written in black ink, with the page numbers marked in blue ink. A pencil was used to draw the lines for the text. The pages are brittle, some of the edges are torn and over writing can be seen in many of the pages. The writing on page 86 is difficult to read. The volume measures 218mm x 175mm. The main text appears on pages 10-109 and this is all that has been copied.

                  
            
              
              View images from this file (101)
            
          
              ","EAP071/29/4","102 Tiff images","Manuscript","File","Bengali","Syloti Nagri, Bengali","19th century-20th century","Access is for research purposes only"
"Āhkāmé CarkāĀhkāmé Carkā","

        Digital images of. Title: Āhkāmé Carkā. Date: 1329 (1922 AD). Measurement: 23cm x 14cm. Main Text: Pp. 1-7. Author: Srīyukta Maulabī Ākbar Āli. Publisher: Srīyukta Maulabī Ākbar Āli. Printer: SrīMam. [Mahahmad] Ābdul Gani Srīhatta Islāmiā Press. Āhkāmé Carkā i.e. rules of spinning refers to the contemporary political movement under M.K. Gandhi which propagated the task of spinning as essential for all and concludes that for a Muslim, spinning is a virtue for women but a taboo for men. Several religious authorities are called to support this stand.

                  
            
              
              View images from this file (8)
            
          
              ","EAP071/30/1","8 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1922","Access is for research purposes only."
"Āhkāmé Roj[z]ā","

        Digital images of. Title: Āhkāmé Roj[z]ā. Date: 1336 (1929 AD). Measurement: 21.8cm x 13.2cm. Main Text: Pp.1- 20. Author: Maulabī Faiyāj Āli Sāheb. Publisher: Maulabī Faiyāj Āli Sāheb. Printer: Srī Mahahmad Ābdul Gani Srīhatta Islāmiā Press. Āhkāmé Roj[z]ā means religious instructions on the ritual of Roza. The text refers to page 173 of Persian text Miśkāt Śariph which recounts the good that one derives from performing Roza i.e. a month -long fast from the day the moon is sighted in the eight month (Śābān) of Hijri calendar. The format of the text is significant. Unlike the usual texts in Sylhét Nāgri script, this text begins with 3 lines written in Arabic script. Moreover, usually the texts in the Sylhét Nāgri script are written fully in verse. But a portion of this text is in prose (written in question answer form). The first 2 pages teach the Sylhét Nāgri script itself. This shows that the script was used to popularise the tradition of Śariat with its ritualistic practices. The Islamic identity has been emphasised by mentioning in the title page the date in the Islamic calendar of Hijri along with the date of the Bengali calendar.

                  
            
              
              View images from this file (24)
            
          
              ","EAP071/30/2","24 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1929","Access is for research purposes only."
"Āhkāmul Ichlām","

        Digital images of. Title: Āhkāmul Ichlām. Date: 1320 (1913). Measurement: 23cm x 14.3cm. Main Text: Pp.1-45. Author: Srīyukta Munsi Mahahmad Huchan. Publisher: Srīyukta Munshi Mohammad Huchan. Printer: SrīMahahmad Ābdul Gani Srīhatta Bandar Bājār Islāmiā Press. Āhkāmūl Islām or religious injunction of Islam is a religious text which describes the facets of Qur'an. It details the rules of Śariat and preaches that to be a Mussalman one has to follow the injunctions of Śariat without fail.

                  
            
              
              View images from this file (48)
            
          
              ","EAP071/30/3","48 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1913","Access is for research purposes only."
"Āhoyālé Jamānā","

        Digital images of. Title: Āhoyālé Jamānā. Date: 1314 (1907). Measurement: 20.4cm x 13cm. Main Text: Pp. 1-44. Author: Late Chaudhuri Mohahmad Hydar. Revised by: Srīyukta Hāji Ābdul Oyāhéd Sahéb. Published by : Srīyukta Hāji Ābdul Wāhed Sahéb. Printer: SrīMahahmad Ābdul Gani Srīhatta Bandar Bājār Islāmiā Press. Āhoyālé Jamānā is in the nature of a religious/didactic text which talks about the Day of Judgment and reminds people to avoid impious ways of life. In the course of the discussion the author- poet talks about the social ills relevant among even the highly-placed people such as the Qazi, that is, the judge in the criminal court.

                  
            
              
              View images from this file (48)
            
          
              ","EAP071/30/4","48 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1907","Access is for research purposes only."
"Ākphé Islāmiā Pūthi","

        Digital images of. Title: Ākphé Islāmiā Pūthi. Date: 1331 B.E. Measurement: 21.6cm x 13.7cm. Main Text: First Part: Pp.1-32, Second part pp. 1-11. Author: Unknown. Publisher: Srīyukta Maulabī Mahahmad Khursid. Printer: Srī Mahahmad Ābdul Gani Srīhatta Bandar Bājār Islāmiā Press. The text consists of two parts. Pages 1 to 32 and 1 to 11. The first part of the text is partly religio–ethical and partly informative. It provides information concerning the donation of property for religious / pious/ charitable purposes. It recounts the legal steps to be taken and explains in simple terms the ways in which deeds or documents of such donations in land should be drafted. Essentially, it advises on the do’s and don’ts regarding the documentation of such transfer of property. The second part marked in the text as pages 1 to 11 contains a list of names of persons who donated their land to the Masjid at Dhalai which was established on 1314 B.E. (1907-1908). The land was donated in 1322 B.E. (1915-1916). This part of the text provides legal details of the land donated as well as its valuation.

                  
            
              
              View images from this file (48)
            
          
              ","EAP071/30/5","48 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1924","Access is for research purposes only."
"Bāro MāshBāro Māsh","

        Digital images of. Title: Bāro Māsh. Date: 1320 (1913). Measurement: 21.3cm x 13.8cm. Main Text: Pp. 1-31. Author: Unknown. Revised by: Khādim Sājid Miyā. Publisher: Md. Iunuch. Printer: SrīMahahmad Ābdul Gani Srīhatta Bandar Bājār Islāmiā Press. ‘Bāro Māshya’ is a genre of writing in popular Bengali literature. Generally this form gives a month-wise description of human happiness and sorrows caused by nature. This text is a revised version, revised by Sājid Miyā. It provides a month- to- month description of the nature. It also introduces in some detail the socio-moral ethics in day- to- day life of a Muslim, such as the duties of the children toward the parents. The text reflects the composite culture of the region. The Sufi ideas are blended in with the local Hindu/Vaisnavite icons such as Nimāi, Krishna. Rādhā. Significantly some innovations are introduced. The text begins with ‘Agran Mās’ i.e. the month of Agrahāyan, which is the eighth month of the Bengali calendar, instead of Baisākh, the first month.

                  
            
              
              View images from this file (35)
            
          
              ","EAP071/30/6","35 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1913","Access is for research purposes only."
"Chohi Candramukhir Puthi","

        Digital images of. Title: Chohi Candramukhir Puthi. Date: 1314 (1907 AD). Measurement: 22cm x 13.6cm. Main text: pp. 1-24. Author: Unknown. Publisher: Abdul Karim Saheb. Printer: Sri Mahahmad Abdul Gani. A love story of Candramukhi, daughter of the king of Gandarbha, and Gulshunahar, son of the king of Misar, which has been identified as Egypt. The story is an adaptation from Persian and reflects the literary innovations made in the structure and form of narration.

                  
            
              
              View images from this file (26)
            
          
              ","EAP071/30/7","26 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1907","Access is for research purposes only."
"Carkār Fajilat","

        Digital images of. Title: Carkar Fajilat. Date: 1328 (1921AD). Measurement: 20cm x 13.3cm. Main text: pp. 1-5. Author: Maulabi Mohammad Chikandar Ali Saheb. Publisher: Maulabi Mohammad Chikandar Ali Saheb. Printer: Sri Mam [Mahahmad] Abdul Gani Srihatta Islamia Press.

                  
            
              
              View images from this file (8)
            
          
              ","EAP071/30/8","8 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1921","Access is for research purposes only."
